"BehaviorSpace results (NetLogo 6.2.0)"
"Projet_IA.nlogo"
"experiment go-ahead [0 .1 1]"
"03/28/2021 11:43:38:619 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11"
"nb-turtle","4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",,"4",
"go-ahead","0",,"0.1",,"0.2",,"0.3",,"0.4",,"0.5",,"0.6",,"0.7",,"0.8",,"0.9",,"1",
"p","0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",,"0.005",
"[reporter]","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi"
"[final]","55.865","100","58.7225","100","55.265","100","55.8525","100","56.11","100","56.5975","100","55.6","100","54.5425","100","54.96","100","56.895","100","54.49","100"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","55.865","100","58.7225","100","55.265","100","55.8525","100","56.11","100","56.5975","100","55.6","100","54.5425","100","54.96","100","56.895","100","54.49","100"
"[mean]","34.64274752475247","50","35.3154702970297","50","34.48240099009901","50","34.637896039603945","50","34.61975247524753","50","34.53608910891088","50","34.60143564356435","50","34.8611386138614","50","34.98804455445544","50","35.497896039603965","50","34.63141089108911","50"
"[steps]","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"

"[all run data]","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi","igi","iwi"
,"36.9475","48","37.255","48","36.9275","48","36.79","48","36.965","48","36.9425","48","37.025","48","37.6","48","37.38","48","37.3275","48","36.855","48"
,"37.4675","49","37.775","49","37.4475","49","37.31","49","37.515","49","37.4625","49","37.5625","49","38.165","49","37.915","49","37.9525","49","37.4675","49"
,"38.025","50","38.285","50","37.9575","50","37.82","50","38.0525","50","37.9725","50","38.0725","50","38.715","50","38.4425","50","38.5675","50","38.0675","50"
,"38.635","51","38.785","51","38.4575","51","38.32","51","38.5675","51","38.4725","51","38.5725","51","39.2225","51","38.9575","51","39.1725","51","38.655","51"
,"39.23","52","39.275","52","39.0325","52","38.81","52","39.09","52","38.9625","52","39.1325","52","39.7125","52","39.5025","52","39.7675","52","39.23","52"
,"39.795","53","39.755","53","39.625","53","39.36","53","39.57","53","39.4425","53","39.6875","53","40.1925","53","40.09","53","40.3525","53","39.7925","53"
,"40.3375","54","40.225","54","40.205","54","39.8975","54","40.04","54","39.9125","54","40.1625","54","40.6625","54","40.6625","54","40.9275","54","40.3425","54"
,"40.8825","55","40.685","55","40.7275","55","40.4675","55","40.5","55","40.3725","55","40.6225","55","41.1225","55","41.24","55","41.4925","55","40.88","55"
,"41.4","56","41.135","56","41.2225","56","41.01","56","40.9925","56","40.865","56","41.1475","56","41.5725","56","41.8025","56","42.0475","56","41.405","56"
,"41.84","57","41.69","57","41.7425","57","41.54","57","41.51","57","41.44","57","41.66","57","42.0125","57","42.345","57","42.7025","57","41.9175","57"
,"42.27","58","42.2325","58","42.2075","58","42.0575","58","42.0125","58","42.005","58","42.185","58","42.5125","58","42.9425","58","43.215","58","42.4175","58"
,"42.75","59","42.7775","59","42.6275","59","42.4825","59","42.5","59","42.46","59","42.6975","59","43","59","43.525","59","43.66","59","42.905","59"
,"43.2175","60","43.4","60","43.0375","60","42.895","60","42.9425","60","42.9825","60","43.1975","60","43.4775","60","44.1875","60","44.0875","60","43.38","60"
,"43.6725","61","43.95","61","43.4375","61","43.295","61","43.4525","61","43.4875","61","43.685","61","43.9425","61","44.8375","61","44.4875","61","43.8425","61"
,"44.1625","62","44.45","62","43.8575","62","43.7325","62","43.95","62","43.905","62","44.16","62","44.4","62","45.43","62","44.9375","62","44.2925","62"
,"44.7475","63","44.935","63","44.265","63","44.1575","63","44.3925","63","44.38","63","44.54","63","44.85","63","45.9","63","45.375","63","44.73","63"
,"45.175","64","45.425","64","44.69","64","44.5825","64","44.8225","64","44.7575","64","44.91","64","45.2925","64","46.3675","64","45.805","64","45.155","64"
,"45.55","65","45.905","65","45.0975","65","44.9925","65","45.24","65","45.2575","65","45.27","65","45.7025","65","46.8325","65","46.255","65","45.5675","65"
,"45.9325","66","46.375","66","45.4975","66","45.3425","66","45.645","66","45.745","66","45.62","66","46.105","66","47.2675","66","46.8175","66","45.9675","66"
,"46.4275","67","46.95","67","45.89","67","45.6825","67","46.0125","67","46.185","67","45.96","67","46.52","67","47.6975","67","47.28","67","46.355","67"
,"46.91","68","47.4225","68","46.3625","68","46.02","68","46.3675","68","46.615","68","46.29","68","46.9275","68","48.12","68","47.7375","68","46.73","68"
,"47.37","69","47.8525","69","46.7925","69","46.485","69","46.71","69","47.035","69","46.68","69","47.3275","69","48.53","69","48.19","69","47.1875","69"
,"47.795","70","48.27","70","47.21","70","46.9375","70","47.1425","70","47.425","70","47.07","70","47.885","70","48.9625","70","48.6375","70","47.63","70"
,"48.19","71","48.57","71","47.51","71","47.4225","71","47.645","71","47.755","71","47.4525","71","48.27","71","49.3475","71","49.08","71","48.0575","71"
,"48.5725","72","48.86","72","47.8","72","47.985","72","48.1325","72","48.09","72","47.8425","72","48.6475","72","49.72","72","49.5175","72","48.47","72"
,"48.9425","73","49.14","73","48.08","73","48.5","73","48.605","73","48.395","73","48.22","73","49.23","73","50.08","73","49.95","73","48.8675","73"
,"49.265","74","49.41","74","48.35","74","48.8475","74","48.98","74","48.665","74","48.6275","74","49.7575","74","50.4275","74","50.3775","74","49.25","74"
,"49.575","75","49.9025","75","48.71","75","49.1425","75","49.4125","75","48.925","75","48.99","75","50.15","75","50.6875","75","50.8","75","49.6175","75"
,"49.8675","76","50.38","76","48.96","76","49.48","76","49.8325","76","49.2","76","49.345","76","50.53","76","50.9375","76","51.5425","76","49.97","76"
,"50.1475","77","50.8625","77","49.2","77","49.84","77","50.2375","77","49.4625","77","49.75","77","50.9375","77","51.1775","77","52.1975","77","50.3075","77"
,"50.415","78","51.225","78","49.5275","78","50.14","78","50.625","78","49.7125","78","50.145","78","51.2275","78","51.4075","78","52.735","78","50.63","78"
,"50.67","79","51.62","79","49.8425","79","50.425","79","51.005","79","49.95","79","50.53","79","51.4475","79","51.6275","79","53.085","79","50.92","79"
,"50.9025","80","52.0275","80","50.145","80","50.7975","80","51.3775","80","50.175","80","50.855","80","51.6575","80","51.8375","80","53.425","80","51.1975","80"
,"51.1225","81","52.3975","81","50.345","81","51.1125","81","51.7075","81","50.3875","81","51.165","81","51.915","81","52.0375","81","53.755","81","51.4625","81"
,"51.33","82","52.775","82","50.5375","82","51.4075","82","51.8975","82","50.585","82","51.5675","82","52.16","82","52.2275","82","54.075","82","51.715","82"
,"51.51","83","53.1175","83","50.875","83","51.6375","83","52.11","83","50.775","83","51.955","83","52.3925","83","52.4075","83","54.325","83","51.955","83"
,"51.68","84","53.44","84","51.1975","84","51.9","84","52.38","84","50.955","84","52.18","84","52.6125","84","52.5775","84","54.5475","84","52.1825","84"
,"51.84","85","53.7525","85","51.4275","85","52.2","85","52.5425","85","51.115","85","52.3925","85","52.82","85","52.7375","85","54.8175","85","52.3975","85"
,"52.005","86","54.0325","86","51.6425","86","52.5375","86","52.6975","86","51.265","86","52.5925","86","53.015","86","52.8875","86","55.095","86","52.6","86"
,"52.2925","87","54.3625","87","51.8225","87","52.8275","87","52.845","87","51.615","87","52.78","87","53.1975","87","53.0275","87","55.3625","87","52.79","87"
,"52.57","88","54.76","88","52.045","88","53.2925","88","52.985","88","51.955","88","53.0075","88","53.3275","88","53.1625","88","55.62","88","52.9675","88"
,"52.7125","89","55.1225","89","52.2425","89","53.7375","89","53.1175","89","52.435","89","53.225","89","53.6075","89","53.285","89","55.8675","89","53.1325","89"
,"53.0525","90","55.6775","90","52.785","90","54.1825","90","53.2425","90","52.92","90","53.4325","90","53.76","90","53.395","90","56.0925","90","53.285","90"
,"53.26","91","56.2175","91","53.2725","91","54.6825","91","53.36","91","53.23","91","53.63","91","53.9","91","53.495","91","56.3075","91","53.555","91"
,"53.3825","92","56.7425","92","53.78","92","55.16","92","53.5575","92","53.6375","92","53.8075","92","53.99","92","53.585","92","56.505","92","53.6825","92"
,"53.5","93","57.2475","93","54.2075","93","55.33","93","53.7425","93","54.19","93","53.98","93","54.07","93","53.665","93","56.615","93","53.7975","93"
,"53.715","94","57.6225","94","54.5025","94","55.4475","94","53.8125","94","54.6375","94","54.14","94","54.14","94","53.735","94","56.685","94","53.9","94"
,"54.1225","95","57.9575","95","54.6625","95","55.5525","95","53.8725","95","55.1775","95","54.29","95","54.2","95","53.98","95","56.745","95","53.99","95"
,"54.47","96","58.2775","96","54.815","96","55.72","96","54.33","96","55.595","96","54.4425","96","54.25","96","54.2125","96","56.795","96","54.0675","96"
,"54.7925","97","58.49","97","54.97","97","55.76","97","54.775","97","55.975","97","54.66","97","54.29","97","54.3275","97","56.835","97","54.1325","97"
,"55.12","98","58.5825","98","55.0475","98","55.79","98","55.2075","98","56.285","98","54.8675","98","54.32","98","54.6025","98","56.865","98","54.185","98"
,"55.4225","99","58.6675","99","55.2075","99","55.81","99","55.665","99","56.4475","99","55.195","99","54.4375","99","54.8625","99","56.885","99","54.225","99"
,"55.865","100","58.7225","100","55.265","100","55.8525","100","56.11","100","56.5975","100","55.6","100","54.5425","100","54.96","100","56.895","100","54.49","100"
